Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Subject,Recorded_Message_Or_Robocall
2023613146,2018-03-05 08:09:47,2018-03-01 14:16:00,Silver Spring,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
8664188062,2018-03-05 08:10:09,2018-03-05 08:08:00,,Kentucky,No Subject Provided,N
4237720178,2018-03-05 08:11:06,2018-03-01 00:00:00,,Missouri,No Subject Provided,
6193292412,2018-03-05 08:10:44,2018-03-05 07:03:00,Pembroke Pines,Florida,Other,N
7163280979,2018-03-05 08:10:50,2018-03-04 18:32:00,Nunda,New York,No Subject Provided,Y
,2018-03-05 08:11:28,2018-03-03 10:01:00,,Virginia,No Subject Provided,Y
9702362394,2018-03-05 08:11:46,2018-03-04 14:55:00,LOVELAND,Colorado,Dropped call or no message,N
9702362394,2018-03-05 08:12:37,2018-03-04 17:54:00,LOVELAND,Colorado,Dropped call or no message,N
5304411039,2018-03-05 08:13:45,2018-03-01 17:46:00,,Pennsylvania,Warranties  & protection plans,N
6367303741,2018-03-05 08:15:26,2018-02-21 09:53:00,,Missouri,No Subject Provided,
6159638833,2018-03-05 08:16:02,2018-03-05 07:00:00,Oneida,Wisconsin,Other,N
2035147374,2018-03-05 08:16:22,2018-03-02 14:00:00,Uncasville,Connecticut,"Reducing your debt (credit cards, mortgage, student loans)",N
4074163350,2018-03-05 08:16:25,2018-03-03 00:00:00,,Florida,Vacation  & timeshares,Y
5023794066,2018-03-05 08:16:34,2018-03-05 08:12:00,Clayhole,Kentucky,No Subject Provided,N
7044452798,2018-03-05 08:16:53,2018-03-01 19:52:00,wilmington,North Carolina,No Subject Provided,Y
6142864025,2018-03-05 08:17:38,2018-03-05 08:01:00,london,Ohio,Other,Y
9102324396,2018-03-05 08:17:54,2018-03-01 15:33:00,wilmington,North Carolina,No Subject Provided,Y
61233003271,2018-03-05 08:17:56,2018-03-03 10:58:00,,Minnesota,Vacation  & timeshares,Y
6182302579,2018-03-05 08:18:18,2018-03-05 05:08:00,Hartland,Vermont,No Subject Provided,Y
5186180946,2018-03-05 08:18:28,2018-03-05 08:12:00,Uncasville,Connecticut,No Subject Provided,N
6094888159,2018-03-05 08:18:32,2018-03-01 17:15:00,,Pennsylvania,Warranties  & protection plans,N
2402371030,2018-03-05 08:18:44,2018-02-03 00:00:00,St Petersburg,Florida,"Calls pretending to be government, businesses, or family and friends",N
,2018-03-05 08:18:55,2018-03-05 08:14:00,,Illinois,No Subject Provided,Y
9105209361,2018-03-05 08:18:58,2018-02-28 19:02:00,wilmington,North Carolina,No Subject Provided,Y
9102322433,2018-03-05 08:19:59,2018-02-28 15:24:00,wilmington,North Carolina,No Subject Provided,Y
6193292412,2018-03-05 08:21:28,2018-03-05 08:12:00,,Florida,No Subject Provided,N
2145481370,2018-03-05 08:20:41,2018-03-05 07:36:00,Rex,Georgia,No Subject Provided,Y
5304411039,2018-03-05 08:20:41,2018-03-01 17:46:00,,California,"Reducing your debt (credit cards, mortgage, student loans)",Y
6193292421,2018-03-05 08:22:01,2018-03-05 07:46:00,"Newport, news",Virginia,Other,N
8778942566,2018-03-05 08:24:23,2018-03-05 08:18:00,Cape Coral,Florida,Other,N
3134374520,2018-03-05 08:26:00,2018-03-05 08:19:00,,Michigan,No Subject Provided,N
6466308869,2018-03-05 08:26:03,2018-03-05 08:00:00,,New York,Other,N
8763301167,2018-03-05 08:29:47,2018-03-02 13:26:00,MILTON,Florida,No Subject Provided,N
6193292421,2018-03-05 08:30:20,2018-03-05 08:02:00,rose city,Michigan,Other,N
7865159748,2018-03-05 08:31:25,2018-03-04 20:35:00,"Jacksonville, FL",Florida,"Calls pretending to be government, businesses, or family and friends",Y
3475742289,2018-03-05 08:31:54,2018-02-21 13:09:00,Caampbell,Texas,No Subject Provided,Y
5713198090,2018-03-05 08:32:04,2018-03-01 16:17:00,Fairfax,Virginia,Vacation  & timeshares,N
5852614931,2018-03-05 08:32:11,2018-03-02 00:00:00,,New York,"Reducing your debt (credit cards, mortgage, student loans)",N
5163001437,2018-03-05 08:32:11,2018-03-05 08:29:00,Garden City,New York,"Energy, solar,  & utilities",N
4129068912,2018-03-05 08:32:45,2018-02-08 08:20:00,sistersville,West Virginia,No Subject Provided,N
2142475010,2018-03-05 08:33:38,2018-02-26 19:13:00,Caampbell,Texas,No Subject Provided,Y
9038813107,2018-03-05 08:35:05,2018-03-04 19:32:00,Seagoville,Texas,No Subject Provided,Y
5105221129,2018-03-05 08:35:27,2018-03-04 17:00:00,alameda,California,No Subject Provided,N
9038627125,2018-03-05 08:35:47,2018-02-27 14:26:00,Caampbell,Texas,No Subject Provided,Y
9362708810,2018-03-05 08:35:55,2018-03-04 17:57:00,Irvine,California,No Subject Provided,Y
5105440775,2018-03-05 08:36:10,2018-03-04 10:19:00,alameda,California,No Subject Provided,N
9149300802,2018-03-05 08:36:38,2018-03-02 02:58:00,NUTLEY,New Jersey,Other,N
7149435978,2018-03-05 08:37:11,2018-03-02 11:02:00,Irvine,California,Other,Y
9047196894,2018-03-05 08:37:11,2018-03-05 08:32:00,,Florida,No Subject Provided,N
9168661431,2018-03-05 08:37:11,2018-03-05 07:30:00,Allen,Texas,"Energy, solar,  & utilities",N
7202142261,2018-03-05 08:37:16,2018-03-05 06:29:00,exton,Pennsylvania,No Subject Provided,Y
9032018496,2018-03-05 08:37:21,2018-02-27 15:26:00,Caampbell,Texas,No Subject Provided,Y
8323253500,2018-03-05 08:37:24,2018-03-04 10:36:00,,Florida,"Calls pretending to be government, businesses, or family and friends",Y
8882660196,2018-03-05 08:37:29,2018-03-05 05:30:00,LaGrange,Illinois,"Calls pretending to be government, businesses, or family and friends",Y
9045552521,2018-03-05 08:37:44,2018-02-23 15:10:00,,Florida,No Subject Provided,N
6812079039,2018-03-05 08:38:23,2018-02-19 11:18:00,branchburg,New Jersey,Medical  & prescriptions,Y
4436157109,2018-03-05 08:38:36,2018-03-05 08:13:00,Westminster,Maryland,No Subject Provided,N
9042635481,2018-03-05 08:38:39,2018-02-25 00:00:00,,Florida,No Subject Provided,N
4782160495,2018-03-05 08:38:51,2018-03-02 20:04:00,Ellijay,Georgia,Other,Y
7578685906,2018-03-05 08:39:48,2018-02-26 09:53:00,,Florida,No Subject Provided,N
4132137106,2018-03-05 08:39:51,2018-03-02 14:15:00,branchburg,New Jersey,Medical  & prescriptions,Y
8452412585,2018-03-05 08:40:00,2018-03-03 14:05:00,Thibodaux,Louisiana,No Subject Provided,Y
3476583715,2018-03-05 08:40:09,2018-02-28 11:21:00,Irvine,California,"Reducing your debt (credit cards, mortgage, student loans)",Y
9313863890,2018-03-05 08:40:28,2018-03-04 17:17:00,Nashville,Tennessee,No Subject Provided,Y
9286085510,2018-03-05 08:40:37,2018-03-02 12:01:00,Ellijay,Georgia,"Reducing your debt (credit cards, mortgage, student loans)",Y
9044259128,2018-03-05 08:40:49,2018-02-26 16:07:00,,Florida,No Subject Provided,N
8452412585,2018-03-05 08:40:49,2018-03-03 14:43:00,Thibodaux,Louisiana,No Subject Provided,Y
8125610206,2018-03-05 08:41:20,2018-03-04 12:00:00,West Chicago,Illinois,No Subject Provided,Y
7578661075,2018-03-05 08:41:22,2018-03-05 08:40:00,,Virginia,No Subject Provided,N
8765634506,2018-03-05 08:41:24,2018-03-05 08:03:00,,New Hampshire,"Lotteries, prizes  & sweepstakes",N
3476583715,2018-03-05 08:42:01,2018-02-28 10:30:00,Irvine,California,"Reducing your debt (credit cards, mortgage, student loans)",Y
9046431649,2018-03-05 08:42:01,2018-02-28 16:58:00,,Florida,No Subject Provided,N
1520270043,2018-03-05 08:42:02,2018-03-05 06:30:00,,Wyoming,No Subject Provided,N
9198211304,2018-03-05 08:42:33,2018-03-03 15:41:00,,North Carolina,No Subject Provided,Y
4436157145,2018-03-05 08:42:57,2018-03-05 08:40:00,,Maryland,No Subject Provided,Y
4132137106,2018-03-05 08:43:00,2018-03-01 16:06:00,,Florida,No Subject Provided,N
113126569247,2018-03-05 08:43:47,2018-03-04 14:19:00,West Chicago,Illinois,No Subject Provided,Y
8005167998,2018-03-05 08:43:55,2018-03-01 17:02:00,,Florida,No Subject Provided,N
2022390523,2018-03-05 08:44:20,2018-03-02 15:44:00,college station,Texas,"Calls pretending to be government, businesses, or family and friends",Y
7735361701,2018-03-05 08:44:35,2018-02-27 19:15:00,Skokie,Illinois,No Subject Provided,Y
6193292412,2018-03-05 08:44:50,2018-03-05 07:15:00,,Massachusetts,No Subject Provided,N
9292070908,2018-03-05 08:44:54,2018-03-01 17:20:00,,Florida,No Subject Provided,N
7038324741,2018-03-05 08:44:57,2018-03-05 08:18:00,,Virginia,No Subject Provided,Y
2079854537,2018-03-05 08:44:59,2018-03-02 13:29:00,Wells,Maine,Vacation  & timeshares,Y
7083009980,2018-03-05 08:45:08,2018-03-05 08:40:00,,Ohio,No Subject Provided,Y
8476032342,2018-03-05 08:45:40,2018-03-01 14:01:00,Skokie,Illinois,No Subject Provided,Y
8047675879,2018-03-05 08:45:51,2018-03-04 17:02:00,Springfield,Virginia,No Subject Provided,N
5717779981,2018-03-05 08:46:10,2018-03-05 08:43:00,,Virginia,No Subject Provided,Y
2145316769,2018-03-05 08:46:24,2018-03-04 01:56:00,Fort Worth,Texas,No Subject Provided,Y
7703814612,2018-03-05 08:47:27,2018-03-05 05:34:00,Portland,Oregon,"Reducing your debt (credit cards, mortgage, student loans)",Y
7204630217,2018-03-05 08:47:32,2018-02-28 08:15:00,,Ohio,No Subject Provided,Y
7149432625,2018-03-05 08:47:36,2018-02-26 15:35:00,Irvine,California,Other,Y
6782768413,2018-03-05 08:48:14,2018-03-04 18:09:00,Columbus,Georgia,Dropped call or no message,Y
9133120984,2018-03-05 08:48:15,2018-02-28 17:51:00,Pendleton,Indiana,No Subject Provided,Y
